GeoName,Avg.Salary
"Eau Claire, WI (Metropolitan Statistical Area)",45530
"El Centro, CA (Metropolitan Statistical Area)",37948
"Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)",44814
"Elkhart-Goshen, IN (Metropolitan Statistical Area)",44765
"Elmira, NY (Metropolitan Statistical Area)",41057
"El Paso, TX (Metropolitan Statistical Area)",36703
"Enid, OK (Metropolitan Statistical Area) 4/",46774
"Erie, PA (Metropolitan Statistical Area)",42859
"Eugene, OR (Metropolitan Statistical Area)",41681
"Evansville, IN-KY (Metropolitan Statistical Area)",47007
"Fairbanks, AK (Metropolitan Statistical Area)",47838
"Fargo, ND-MN (Metropolitan Statistical Area)",52815
"Farmington, NM (Metropolitan Statistical Area)",35050
"Fayetteville, NC (Metropolitan Statistical Area)",37657
"Fayetteville-Springdale-Rogers, AR-MO (Metropolitan Statistical Area)",62271
"Flagstaff, AZ (Metropolitan Statistical Area)",43633
"Flint, MI (Metropolitan Statistical Area)",41051
"Florence, SC (Metropolitan Statistical Area)",42250
"Florence-Muscle Shoals, AL (Metropolitan Statistical Area)",41045
"Fond du Lac, WI (Metropolitan Statistical Area)",48964
"Fort Collins, CO (Metropolitan Statistical Area)",45732
"Fort Smith, AR-OK (Metropolitan Statistical Area)",39825
"Fort Wayne, IN (Metropolitan Statistical Area)",45774
"Fresno, CA (Metropolitan Statistical Area)",40309
"Gadsden, AL (Metropolitan Statistical Area)",40299
"Gainesville, FL (Metropolitan Statistical Area)",41271
"Gainesville, GA (Metropolitan Statistical Area)",43526
"Gettysburg, PA (Metropolitan Statistical Area)",45440
"Glens Falls, NY (Metropolitan Statistical Area)",42708
"Goldsboro, NC (Metropolitan Statistical Area)",39599
"Grand Forks, ND-MN (Metropolitan Statistical Area)",48711
"Grand Island, NE (Metropolitan Statistical Area)",46822
"Grand Junction, CO (Metropolitan Statistical Area)",40972
"Grand Rapids-Wyoming, MI (Metropolitan Statistical Area)",48851
"Grants Pass, OR (Metropolitan Statistical Area)",38939
"Great Falls, MT (Metropolitan Statistical Area)",46112
"Greeley, CO (Metropolitan Statistical Area)",42597
"Green Bay, WI (Metropolitan Statistical Area)",50190
"Greensboro-High Point, NC (Metropolitan Statistical Area)",43798
"Greenville, NC (Metropolitan Statistical Area)",42234
"Greenville-Anderson-Mauldin, SC (Metropolitan Statistical Area)",44007
"Gulfport-Biloxi-Pascagoula, MS (Metropolitan Statistical Area)",38591
"Hagerstown-Martinsburg, MD-WV (Metropolitan Statistical Area)",40085
"Hammond, LA (Metropolitan Statistical Area)",41645
"Hanford-Corcoran, CA (Metropolitan Statistical Area)",34336
"Harrisburg-Carlisle, PA (Metropolitan Statistical Area)",47955
"Harrisonburg, VA (Metropolitan Statistical Area)",39823
"Hartford-West Hartford-East Hartford, CT (Metropolitan Statistical Area)",56914
"Hattiesburg, MS (Metropolitan Statistical Area)",43510
"Hickory-Lenoir-Morganton, NC (Metropolitan Statistical Area)",40747
"Hilton Head Island-Bluffton-Beaufort, SC (Metropolitan Statistical Area)",49356
"Hinesville, GA (Metropolitan Statistical Area)",33852
"Homosassa Springs, FL (Metropolitan Statistical Area)",40289
"Hot Springs, AR (Metropolitan Statistical Area)",41722
"Houma-Thibodaux, LA (Metropolitan Statistical Area)",43307
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",48692
"Huntington-Ashland, WV-KY-OH (Metropolitan Statistical Area)",41082
"Huntsville, AL (Metropolitan Statistical Area)",49918
"Idaho Falls, ID (Metropolitan Statistical Area)",44785
"Indianapolis-Carmel-Anderson, IN (Metropolitan Statistical Area)",52830
"Iowa City, IA (Metropolitan Statistical Area)",49446
"Ithaca, NY (Metropolitan Statistical Area)",36716
"Jackson, MI (Metropolitan Statistical Area)",40136
"Jackson, MS (Metropolitan Statistical Area)",45387
"Jackson, TN (Metropolitan Statistical Area)",45246
"Jacksonville, FL (Metropolitan Statistical Area)",46299
"Jacksonville, NC (Metropolitan Statistical Area)",47858
"Janesville-Beloit, WI (Metropolitan Statistical Area)",42962
"Jefferson City, MO (Metropolitan Statistical Area)",46673
"Johnson City, TN (Metropolitan Statistical Area)",41520
"Johnstown, PA (Metropolitan Statistical Area)",44343
"Jonesboro, AR (Metropolitan Statistical Area)",40329
"Joplin, MO (Metropolitan Statistical Area)",40679
"Kahului-Wailuku-Lahaina, HI (Metropolitan Statistical Area)",40848
"Kalamazoo-Portage, MI (Metropolitan Statistical Area)",46190
"Kankakee, IL (Metropolitan Statistical Area)",38890
"Kansas City, MO-KS (Metropolitan Statistical Area)",51224
"Kennewick-Richland, WA (Metropolitan Statistical Area)",41603
"Killeen-Temple, TX (Metropolitan Statistical Area)",41912
"Kingsport-Bristol-Bristol, TN-VA (Metropolitan Statistical Area)",42205
"Kingston, NY (Metropolitan Statistical Area)",43047
"Knoxville, TN (Metropolitan Statistical Area)",46417
"Kokomo, IN (Metropolitan Statistical Area)",43849
"La Crosse-Onalaska, WI-MN (Metropolitan Statistical Area)",47898
"Lafayette, LA (Metropolitan Statistical Area)",43853
"Lafayette-West Lafayette, IN (Metropolitan Statistical Area)",38094
"Lake Charles, LA (Metropolitan Statistical Area)",48773
"Lake Havasu City-Kingman, AZ (Metropolitan Statistical Area)",31589
"Lakeland-Winter Haven, FL (Metropolitan Statistical Area)",34857
"Lancaster, PA (Metropolitan Statistical Area)",45962
"Lansing-East Lansing, MI (Metropolitan Statistical Area)",40822
"Laredo, TX (Metropolitan Statistical Area)",32222
"Las Cruces, NM (Metropolitan Statistical Area)",36624
"Las Vegas-Henderson-Paradise, NV (Metropolitan Statistical Area)",42455
"Lawrence, KS (Metropolitan Statistical Area)",41897
"Lawton, OK (Metropolitan Statistical Area)",42044
"Lebanon, PA (Metropolitan Statistical Area)",44520
"Lewiston, ID-WA (Metropolitan Statistical Area)",44480
"Lewiston-Auburn, ME (Metropolitan Statistical Area)",39287
"Lexington-Fayette, KY (Metropolitan Statistical Area)",47221
"Lima, OH (Metropolitan Statistical Area)",43373
"Lincoln, NE (Metropolitan Statistical Area)",47793
"Little Rock-North Little Rock-Conway, AR (Metropolitan Statistical Area)",45527
"Logan, UT-ID (Metropolitan Statistical Area)",37401
"Longview, TX (Metropolitan Statistical Area)",42117
"Longview, WA (Metropolitan Statistical Area)",42685
"Los Angeles-Long Beach-Anaheim, CA (Metropolitan Statistical Area)",47793
"Louisville/Jefferson County, KY-IN (Metropolitan Statistical Area)",48779
"Lubbock, TX (Metropolitan Statistical Area)",41326
"Lynchburg, VA (Metropolitan Statistical Area)",40328
"Macon-Bibb County, GA (Metropolitan Statistical Area)",42819
"Madera, CA (Metropolitan Statistical Area)",37823
"Madison, WI (Metropolitan Statistical Area)",53934
"Manchester-Nashua, NH (Metropolitan Statistical Area)",51071
"Manhattan, KS (Metropolitan Statistical Area)",45055
"Mankato-North Mankato, MN (Metropolitan Statistical Area)",46342
"Mansfield, OH (Metropolitan Statistical Area)",40799
"McAllen-Edinburg-Mission, TX (Metropolitan Statistical Area)",28943
"Medford, OR (Metropolitan Statistical Area)",42464
"Memphis, TN-MS-AR (Metropolitan Statistical Area)",46344
"Merced, CA (Metropolitan Statistical Area)",37824
"Miami-Fort Lauderdale-West Palm Beach, FL (Metropolitan Statistical Area)",46295
"Michigan City-La Porte, IN (Metropolitan Statistical Area)",43771
"Midland, MI (Metropolitan Statistical Area)",49499
"Midland, TX (Metropolitan Statistical Area)",72322
"Milwaukee-Waukesha-West Allis, WI (Metropolitan Statistical Area)",52762
"Minneapolis-St. Paul-Bloomington, MN-WI (Metropolitan Statistical Area)",54478
"Missoula, MT (Metropolitan Statistical Area)",45400
"Mobile, AL (Metropolitan Statistical Area)",39895
"Modesto, CA (Metropolitan Statistical Area)",40754
"Monroe, LA (Metropolitan Statistical Area)",43542
"Monroe, MI (Metropolitan Statistical Area)",44918
"Montgomery, AL (Metropolitan Statistical Area)",44069
"Morgantown, WV (Metropolitan Statistical Area)",41225
"Morristown, TN (Metropolitan Statistical Area)",41844
"Mount Vernon-Anacortes, WA (Metropolitan Statistical Area)",46849
"Muncie, IN (Metropolitan Statistical Area)",38331
"Muskegon, MI (Metropolitan Statistical Area)",39908
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC (Metropolitan Statistical Area)",38482
"Napa, CA (Metropolitan Statistical Area)",53430
"Naples-Immokalee-Marco Island, FL (Metropolitan Statistical Area)",81999
"Nashville-Davidson--Murfreesboro--Franklin, TN (Metropolitan Statistical Area)",54788
"New Bern, NC (Metropolitan Statistical Area)",46451
"New Haven-Milford, CT (Metropolitan Statistical Area)",45448
"New Orleans-Metairie, LA (Metropolitan Statistical Area)",48618
"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",53197
"Niles-Benton Harbor, MI (Metropolitan Statistical Area)",47731
"North Port-Sarasota-Bradenton, FL (Metropolitan Statistical Area)",51222
"Norwich-New London, CT (Metropolitan Statistical Area)",52243
"Ocala, FL (Metropolitan Statistical Area)",37371
"Ocean City, NJ (Metropolitan Statistical Area)",50809
"Odessa, TX (Metropolitan Statistical Area)",37810
"Ogden-Clearfield, UT (Metropolitan Statistical Area)",40928
"Oklahoma City, OK (Metropolitan Statistical Area)",47086
"Olympia-Tumwater, WA (Metropolitan Statistical Area)",42425
"Omaha-Council Bluffs, NE-IA (Metropolitan Statistical Area)",54979
"Orlando-Kissimmee-Sanford, FL (Metropolitan Statistical Area)",39496
"Oshkosh-Neenah, WI (Metropolitan Statistical Area)",47212
"Owensboro, KY (Metropolitan Statistical Area)",42717
"Oxnard-Thousand Oaks-Ventura, CA (Metropolitan Statistical Area)",46820
"Palm Bay-Melbourne-Titusville, FL (Metropolitan Statistical Area)",42462
"Panama City, FL (Metropolitan Statistical Area)",41796
"Parkersburg-Vienna, WV (Metropolitan Statistical Area)",41873
"Pensacola-Ferry Pass-Brent, FL (Metropolitan Statistical Area)",42333
"Peoria, IL (Metropolitan Statistical Area)",49625
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (Metropolitan Statistical Area)",54398
"Phoenix-Mesa-Scottsdale, AZ (Metropolitan Statistical Area)",42218
"Pine Bluff, AR (Metropolitan Statistical Area)",37476
"Pittsburgh, PA (Metropolitan Statistical Area)",52856
"Pittsfield, MA (Metropolitan Statistical Area)",52685
"Pocatello, ID (Metropolitan Statistical Area)",38727
"Portland-South Portland, ME (Metropolitan Statistical Area)",49750
"Portland-Vancouver-Hillsboro, OR-WA (Metropolitan Statistical Area)",48929
"Port St. Lucie, FL (Metropolitan Statistical Area)",50745
"Prescott, AZ (Metropolitan Statistical Area)",36614
"Providence-Warwick, RI-MA (Metropolitan Statistical Area)",48737
"Provo-Orem, UT (Metropolitan Statistical Area)",37126
"Pueblo, CO (Metropolitan Statistical Area)",38254
"Punta Gorda, FL (Metropolitan Statistical Area)",40320
"Racine, WI (Metropolitan Statistical Area)",46629
"Raleigh, NC (Metropolitan Statistical Area)",51319
"Rapid City, SD (Metropolitan Statistical Area)",49181
"Reading, PA (Metropolitan Statistical Area)",45767
"Redding, CA (Metropolitan Statistical Area)",42915
"Reno, NV (Metropolitan Statistical Area)",50845
"Richmond, VA (Metropolitan Statistical Area)",52778
"Riverside-San Bernardino-Ontario, CA (Metropolitan Statistical Area)",33847
"Roanoke, VA (Metropolitan Statistical Area)",46954
"Rochester, MN (Metropolitan Statistical Area)",50926
"Rochester, NY (Metropolitan Statistical Area)",46260
"Rockford, IL (Metropolitan Statistical Area)",43710
"Rocky Mount, NC (Metropolitan Statistical Area)",42203
"Rome, GA (Metropolitan Statistical Area)",43039
"Sacramento--Roseville--Arden-Arcade, CA (Metropolitan Statistical Area)",49457
"Saginaw, MI (Metropolitan Statistical Area)",39880
"St. Cloud, MN (Metropolitan Statistical Area)",44851
"St. George, UT (Metropolitan Statistical Area)",35283
"St. Joseph, MO-KS (Metropolitan Statistical Area)",40448
"St. Louis, MO-IL (Metropolitan Statistical Area)",53820
"Salem, OR (Metropolitan Statistical Area)",39701
"Salinas, CA (Metropolitan Statistical Area)",46715
"Salisbury, MD-DE (Metropolitan Statistical Area)",48874
"Salt Lake City, UT (Metropolitan Statistical Area)",45831
"San Angelo, TX (Metropolitan Statistical Area)",43357
"San Antonio-New Braunfels, TX (Metropolitan Statistical Area)",44777
"San Diego-Carlsbad, CA (Metropolitan Statistical Area)",46589
"San Francisco-Oakland-Hayward, CA (Metropolitan Statistical Area)",66920
"San Jose-Sunnyvale-Santa Clara, CA (Metropolitan Statistical Area)",69016
"San Luis Obispo-Paso Robles-Arroyo Grande, CA (Metropolitan Statistical Area)",47606
"Santa Cruz-Watsonville, CA (Metropolitan Statistical Area)",47108
"Santa Fe, NM (Metropolitan Statistical Area)",52544
"Santa Maria-Santa Barbara, CA (Metropolitan Statistical Area)",50259
"Santa Rosa, CA (Metropolitan Statistical Area)",45697
"Savannah, GA (Metropolitan Statistical Area)",44460
"Scranton--Wilkes-Barre--Hazleton, PA (Metropolitan Statistical Area)",44610
"Seattle-Tacoma-Bellevue, WA (Metropolitan Statistical Area)",57630
"Sebastian-Vero Beach, FL (Metropolitan Statistical Area)",74988
"Sebring, FL (Metropolitan Statistical Area)",38248
"Sheboygan, WI (Metropolitan Statistical Area)",51108
"Sherman-Denison, TX (Metropolitan Statistical Area)",42335
"Shreveport-Bossier City, LA (Metropolitan Statistical Area)",45697
"Sierra Vista-Douglas, AZ (Metropolitan Statistical Area)",40623
"Sioux City, IA-NE-SD (Metropolitan Statistical Area)",52486
"Sioux Falls, SD (Metropolitan Statistical Area)",58430
"South Bend-Mishawaka, IN-MI (Metropolitan Statistical Area)",47136
"Spartanburg, SC (Metropolitan Statistical Area)",43885
"Spokane-Spokane Valley, WA (Metropolitan Statistical Area)",42527
"Springfield, IL (Metropolitan Statistical Area)",47713
"Springfield, MA (Metropolitan Statistical Area)",47917
"Springfield, MO (Metropolitan Statistical Area)",41597
"Springfield, OH (Metropolitan Statistical Area)",41790
