City_State,RPP_c,vals
"Corvallis, OR (Metropolitan Statistical Area)",  RPPs: Services: Other,94
"Crestview-Fort Walton Beach-Destin, FL (Metropolitan Statistical Area)",RPPs: All items,94.8
"Crestview-Fort Walton Beach-Destin, FL (Metropolitan Statistical Area)",  RPPs: Goods,94.9
"Crestview-Fort Walton Beach-Destin, FL (Metropolitan Statistical Area)",  RPPs: Services: Rents,96.7
"Crestview-Fort Walton Beach-Destin, FL (Metropolitan Statistical Area)",  RPPs: Services: Other,93.6
"Cumberland, MD-WV (Metropolitan Statistical Area)",RPPs: All items,88.1
"Cumberland, MD-WV (Metropolitan Statistical Area)",  RPPs: Goods,97.9
"Cumberland, MD-WV (Metropolitan Statistical Area)",  RPPs: Services: Rents,66.7
"Cumberland, MD-WV (Metropolitan Statistical Area)",  RPPs: Services: Other,93.4
"Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)",RPPs: All items,100.2
"Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)",  RPPs: Goods,99
"Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)",  RPPs: Services: Rents,103.2
"Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)",  RPPs: Services: Other,99.9
"Dalton, GA (Metropolitan Statistical Area)",RPPs: All items,83.4
"Dalton, GA (Metropolitan Statistical Area)",  RPPs: Goods,91.3
"Dalton, GA (Metropolitan Statistical Area)",  RPPs: Services: Rents,65.9
"Dalton, GA (Metropolitan Statistical Area)",  RPPs: Services: Other,93.2
"Danville, IL (Metropolitan Statistical Area)",RPPs: All items,80.4
"Danville, IL (Metropolitan Statistical Area)",  RPPs: Goods,92.9
"Danville, IL (Metropolitan Statistical Area)",  RPPs: Services: Rents,57.3
"Danville, IL (Metropolitan Statistical Area)",  RPPs: Services: Other,90.2
"Daphne-Fairhope-Foley, AL (Metropolitan Statistical Area)",RPPs: All items,91.3
"Daphne-Fairhope-Foley, AL (Metropolitan Statistical Area)",  RPPs: Goods,97.9
"Daphne-Fairhope-Foley, AL (Metropolitan Statistical Area)",  RPPs: Services: Rents,81.2
"Daphne-Fairhope-Foley, AL (Metropolitan Statistical Area)",  RPPs: Services: Other,93.4
"Davenport-Moline-Rock Island, IA-IL (Metropolitan Statistical Area)",RPPs: All items,90.2
"Davenport-Moline-Rock Island, IA-IL (Metropolitan Statistical Area)",  RPPs: Goods,97.1
"Davenport-Moline-Rock Island, IA-IL (Metropolitan Statistical Area)",  RPPs: Services: Rents,72.1
"Davenport-Moline-Rock Island, IA-IL (Metropolitan Statistical Area)",  RPPs: Services: Other,93.5
"Dayton, OH (Metropolitan Statistical Area)",RPPs: All items,90
"Dayton, OH (Metropolitan Statistical Area)",  RPPs: Goods,97.2
"Dayton, OH (Metropolitan Statistical Area)",  RPPs: Services: Rents,72.1
"Dayton, OH (Metropolitan Statistical Area)",  RPPs: Services: Other,93.6
"Decatur, AL (Metropolitan Statistical Area)",RPPs: All items,84.3
"Decatur, AL (Metropolitan Statistical Area)",  RPPs: Goods,97.9
"Decatur, AL (Metropolitan Statistical Area)",  RPPs: Services: Rents,53.1
"Decatur, AL (Metropolitan Statistical Area)",  RPPs: Services: Other,93.4
"Decatur, IL (Metropolitan Statistical Area)",RPPs: All items,86.1
"Decatur, IL (Metropolitan Statistical Area)",  RPPs: Goods,97.2
"Decatur, IL (Metropolitan Statistical Area)",  RPPs: Services: Rents,57.9
"Decatur, IL (Metropolitan Statistical Area)",  RPPs: Services: Other,93.6
"Deltona-Daytona Beach-Ormond Beach, FL (Metropolitan Statistical Area)",RPPs: All items,95.4
"Deltona-Daytona Beach-Ormond Beach, FL (Metropolitan Statistical Area)",  RPPs: Goods,97.9
"Deltona-Daytona Beach-Ormond Beach, FL (Metropolitan Statistical Area)",  RPPs: Services: Rents,94.2
"Deltona-Daytona Beach-Ormond Beach, FL (Metropolitan Statistical Area)",  RPPs: Services: Other,93.4
"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area)",RPPs: All items,106
"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area)",  RPPs: Goods,100.8
"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area)",  RPPs: Services: Rents,127.9
"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area)",  RPPs: Services: Other,99.3
"Des Moines-West Des Moines, IA (Metropolitan Statistical Area)",RPPs: All items,94.5
"Des Moines-West Des Moines, IA (Metropolitan Statistical Area)",  RPPs: Goods,97.1
"Des Moines-West Des Moines, IA (Metropolitan Statistical Area)",  RPPs: Services: Rents,90.6
"Des Moines-West Des Moines, IA (Metropolitan Statistical Area)",  RPPs: Services: Other,93.5
"Detroit-Warren-Dearborn, MI (Metropolitan Statistical Area)",RPPs: All items,95.9
"Detroit-Warren-Dearborn, MI (Metropolitan Statistical Area)",  RPPs: Goods,98.2
"Detroit-Warren-Dearborn, MI (Metropolitan Statistical Area)",  RPPs: Services: Rents,86.7
"Detroit-Warren-Dearborn, MI (Metropolitan Statistical Area)",  RPPs: Services: Other,99.3
"Dothan, AL (Metropolitan Statistical Area)",RPPs: All items,84.1
"Dothan, AL (Metropolitan Statistical Area)",  RPPs: Goods,96.5
"Dothan, AL (Metropolitan Statistical Area)",  RPPs: Services: Rents,57.1
"Dothan, AL (Metropolitan Statistical Area)",  RPPs: Services: Other,93.5
"Dover, DE (Metropolitan Statistical Area)",RPPs: All items,94.4
"Dover, DE (Metropolitan Statistical Area)",  RPPs: Goods,97.9
"Dover, DE (Metropolitan Statistical Area)",  RPPs: Services: Rents,90.2
"Dover, DE (Metropolitan Statistical Area)",  RPPs: Services: Other,93.4
"Dubuque, IA (Metropolitan Statistical Area)",RPPs: All items,91.5
"Dubuque, IA (Metropolitan Statistical Area)",  RPPs: Goods,97.2
"Dubuque, IA (Metropolitan Statistical Area)",  RPPs: Services: Rents,77.7
"Dubuque, IA (Metropolitan Statistical Area)",  RPPs: Services: Other,93.6
"Duluth, MN-WI (Metropolitan Statistical Area)",RPPs: All items,90.3
"Duluth, MN-WI (Metropolitan Statistical Area)",  RPPs: Goods,96.9
"Duluth, MN-WI (Metropolitan Statistical Area)",  RPPs: Services: Rents,75.6
"Duluth, MN-WI (Metropolitan Statistical Area)",  RPPs: Services: Other,93.3
"Durham-Chapel Hill, NC (Metropolitan Statistical Area)",RPPs: All items,95.2
"Durham-Chapel Hill, NC (Metropolitan Statistical Area)",  RPPs: Goods,97.7
"Durham-Chapel Hill, NC (Metropolitan Statistical Area)",  RPPs: Services: Rents,93.3
"Durham-Chapel Hill, NC (Metropolitan Statistical Area)",  RPPs: Services: Other,93.4
"East Stroudsburg, PA (Metropolitan Statistical Area)",RPPs: All items,97.1
"East Stroudsburg, PA (Metropolitan Statistical Area)",  RPPs: Goods,98
"East Stroudsburg, PA (Metropolitan Statistical Area)",  RPPs: Services: Rents,91.1
"East Stroudsburg, PA (Metropolitan Statistical Area)",  RPPs: Services: Other,100.6
"Eau Claire, WI (Metropolitan Statistical Area)",RPPs: All items,91.2
"Eau Claire, WI (Metropolitan Statistical Area)",  RPPs: Goods,97.2
"Eau Claire, WI (Metropolitan Statistical Area)",  RPPs: Services: Rents,76.3
"Eau Claire, WI (Metropolitan Statistical Area)",  RPPs: Services: Other,93.6
"El Centro, CA (Metropolitan Statistical Area)",RPPs: All items,89.3
"El Centro, CA (Metropolitan Statistical Area)",  RPPs: Goods,99.4
"El Centro, CA (Metropolitan Statistical Area)",  RPPs: Services: Rents,71.6
"El Centro, CA (Metropolitan Statistical Area)",  RPPs: Services: Other,94
"Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)",RPPs: All items,85.3
"Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)",  RPPs: Goods,91.3
"Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)",  RPPs: Services: Rents,72.6
"Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)",  RPPs: Services: Other,93.2
"Elkhart-Goshen, IN (Metropolitan Statistical Area)",RPPs: All items,90.2
"Elkhart-Goshen, IN (Metropolitan Statistical Area)",  RPPs: Goods,97.2
"Elkhart-Goshen, IN (Metropolitan Statistical Area)",  RPPs: Services: Rents,72.7
"Elkhart-Goshen, IN (Metropolitan Statistical Area)",  RPPs: Services: Other,93.6
"Elmira, NY (Metropolitan Statistical Area)",RPPs: All items,95.3
"Elmira, NY (Metropolitan Statistical Area)",  RPPs: Goods,98
"Elmira, NY (Metropolitan Statistical Area)",  RPPs: Services: Rents,82.4
"Elmira, NY (Metropolitan Statistical Area)",  RPPs: Services: Other,100.6
"El Paso, TX (Metropolitan Statistical Area)",RPPs: All items,88.7
"El Paso, TX (Metropolitan Statistical Area)",  RPPs: Goods,97.8
"El Paso, TX (Metropolitan Statistical Area)",  RPPs: Services: Rents,72.2
"El Paso, TX (Metropolitan Statistical Area)",  RPPs: Services: Other,93.4
"Enid, OK (Metropolitan Statistical Area) 2/",RPPs: All items,90.4
"Enid, OK (Metropolitan Statistical Area) 2/",  RPPs: Goods,97.9
"Enid, OK (Metropolitan Statistical Area) 2/",  RPPs: Services: Rents,73
"Enid, OK (Metropolitan Statistical Area) 2/",  RPPs: Services: Other,93.4
"Erie, PA (Metropolitan Statistical Area)",RPPs: All items,92.7
"Erie, PA (Metropolitan Statistical Area)",  RPPs: Goods,98
"Erie, PA (Metropolitan Statistical Area)",  RPPs: Services: Rents,73.4
"Erie, PA (Metropolitan Statistical Area)",  RPPs: Services: Other,100.6
"Eugene, OR (Metropolitan Statistical Area)",RPPs: All items,97.8
"Eugene, OR (Metropolitan Statistical Area)",  RPPs: Goods,95.4
"Eugene, OR (Metropolitan Statistical Area)",  RPPs: Services: Rents,96.6
"Eugene, OR (Metropolitan Statistical Area)",  RPPs: Services: Other,102
"Evansville, IN-KY (Metropolitan Statistical Area)",RPPs: All items,89.4
"Evansville, IN-KY (Metropolitan Statistical Area)",  RPPs: Goods,97.2
"Evansville, IN-KY (Metropolitan Statistical Area)",  RPPs: Services: Rents,68.3
"Evansville, IN-KY (Metropolitan Statistical Area)",  RPPs: Services: Other,93.6
"Fairbanks, AK (Metropolitan Statistical Area)",RPPs: All items,106.6
"Fairbanks, AK (Metropolitan Statistical Area)",  RPPs: Goods,99.4
"Fairbanks, AK (Metropolitan Statistical Area)",  RPPs: Services: Rents,147.7
"Fairbanks, AK (Metropolitan Statistical Area)",  RPPs: Services: Other,94
"Fargo, ND-MN (Metropolitan Statistical Area)",RPPs: All items,92.6
"Fargo, ND-MN (Metropolitan Statistical Area)",  RPPs: Goods,97.2
"Fargo, ND-MN (Metropolitan Statistical Area)",  RPPs: Services: Rents,82.1
"Fargo, ND-MN (Metropolitan Statistical Area)",  RPPs: Services: Other,93.6
"Farmington, NM (Metropolitan Statistical Area)",RPPs: All items,91
"Farmington, NM (Metropolitan Statistical Area)",  RPPs: Goods,99.4
"Farmington, NM (Metropolitan Statistical Area)",  RPPs: Services: Rents,73.3
"Farmington, NM (Metropolitan Statistical Area)",  RPPs: Services: Other,94
"Fayetteville, NC (Metropolitan Statistical Area)",RPPs: All items,89.9
"Fayetteville, NC (Metropolitan Statistical Area)",  RPPs: Goods,97.3
"Fayetteville, NC (Metropolitan Statistical Area)",  RPPs: Services: Rents,76.5
"Fayetteville, NC (Metropolitan Statistical Area)",  RPPs: Services: Other,93.4
"Fayetteville-Springdale-Rogers, AR-MO (Metropolitan Statistical Area)",RPPs: All items,89.5
"Fayetteville-Springdale-Rogers, AR-MO (Metropolitan Statistical Area)",  RPPs: Goods,97.6
"Fayetteville-Springdale-Rogers, AR-MO (Metropolitan Statistical Area)",  RPPs: Services: Rents,70.3
"Fayetteville-Springdale-Rogers, AR-MO (Metropolitan Statistical Area)",  RPPs: Services: Other,93.4
"Flagstaff, AZ (Metropolitan Statistical Area)",RPPs: All items,98
"Flagstaff, AZ (Metropolitan Statistical Area)",  RPPs: Goods,99.4
"Flagstaff, AZ (Metropolitan Statistical Area)",  RPPs: Services: Rents,101
"Flagstaff, AZ (Metropolitan Statistical Area)",  RPPs: Services: Other,94
"Flint, MI (Metropolitan Statistical Area)",RPPs: All items,90.4
"Flint, MI (Metropolitan Statistical Area)",  RPPs: Goods,98.2
"Flint, MI (Metropolitan Statistical Area)",  RPPs: Services: Rents,66.8
"Flint, MI (Metropolitan Statistical Area)",  RPPs: Services: Other,99.3
"Florence, SC (Metropolitan Statistical Area)",RPPs: All items,85.5
"Florence, SC (Metropolitan Statistical Area)",  RPPs: Goods,96.4
"Florence, SC (Metropolitan Statistical Area)",  RPPs: Services: Rents,60.2
"Florence, SC (Metropolitan Statistical Area)",  RPPs: Services: Other,93.5
"Florence-Muscle Shoals, AL (Metropolitan Statistical Area)",RPPs: All items,84.2
"Florence-Muscle Shoals, AL (Metropolitan Statistical Area)",  RPPs: Goods,97.9
"Florence-Muscle Shoals, AL (Metropolitan Statistical Area)",  RPPs: Services: Rents,52.2
"Florence-Muscle Shoals, AL (Metropolitan Statistical Area)",  RPPs: Services: Other,93.4
"Fond du Lac, WI (Metropolitan Statistical Area)",RPPs: All items,87.1
"Fond du Lac, WI (Metropolitan Statistical Area)",  RPPs: Goods,92.9
"Fond du Lac, WI (Metropolitan Statistical Area)",  RPPs: Services: Rents,75
"Fond du Lac, WI (Metropolitan Statistical Area)",  RPPs: Services: Other,90.2
"Fort Collins, CO (Metropolitan Statistical Area)",RPPs: All items,101.9
"Fort Collins, CO (Metropolitan Statistical Area)",  RPPs: Goods,95.4
"Fort Collins, CO (Metropolitan Statistical Area)",  RPPs: Services: Rents,117.7
"Fort Collins, CO (Metropolitan Statistical Area)",  RPPs: Services: Other,102
"Fort Smith, AR-OK (Metropolitan Statistical Area)",RPPs: All items,84.6
"Fort Smith, AR-OK (Metropolitan Statistical Area)",  RPPs: Goods,97.1
"Fort Smith, AR-OK (Metropolitan Statistical Area)",  RPPs: Services: Rents,57.1
"Fort Smith, AR-OK (Metropolitan Statistical Area)",  RPPs: Services: Other,93.4
"Fort Wayne, IN (Metropolitan Statistical Area)",RPPs: All items,89.9
"Fort Wayne, IN (Metropolitan Statistical Area)",  RPPs: Goods,97.2
"Fort Wayne, IN (Metropolitan Statistical Area)",  RPPs: Services: Rents,70
"Fort Wayne, IN (Metropolitan Statistical Area)",  RPPs: Services: Other,93.6
"Fresno, CA (Metropolitan Statistical Area)",RPPs: All items,96.3
"Fresno, CA (Metropolitan Statistical Area)",  RPPs: Goods,95.4
"Fresno, CA (Metropolitan Statistical Area)",  RPPs: Services: Rents,90.1
"Fresno, CA (Metropolitan Statistical Area)",  RPPs: Services: Other,102
"Gadsden, AL (Metropolitan Statistical Area)",RPPs: All items,83.3
"Gadsden, AL (Metropolitan Statistical Area)",  RPPs: Goods,97.9
"Gadsden, AL (Metropolitan Statistical Area)",  RPPs: Services: Rents,51.5
"Gadsden, AL (Metropolitan Statistical Area)",  RPPs: Services: Other,93.4
"Gainesville, FL (Metropolitan Statistical Area)",RPPs: All items,94.3
"Gainesville, FL (Metropolitan Statistical Area)",  RPPs: Goods,97.6
"Gainesville, FL (Metropolitan Statistical Area)",  RPPs: Services: Rents,90.5
"Gainesville, FL (Metropolitan Statistical Area)",  RPPs: Services: Other,93.4
"Gainesville, GA (Metropolitan Statistical Area)",RPPs: All items,88.5
"Gainesville, GA (Metropolitan Statistical Area)",  RPPs: Goods,91.3
"Gainesville, GA (Metropolitan Statistical Area)",  RPPs: Services: Rents,81
"Gainesville, GA (Metropolitan Statistical Area)",  RPPs: Services: Other,93.2
"Gettysburg, PA (Metropolitan Statistical Area)",RPPs: All items,96.1
"Gettysburg, PA (Metropolitan Statistical Area)",  RPPs: Goods,98
"Gettysburg, PA (Metropolitan Statistical Area)",  RPPs: Services: Rents,85.8
"Gettysburg, PA (Metropolitan Statistical Area)",  RPPs: Services: Other,100.6
"Glens Falls, NY (Metropolitan Statistical Area)",RPPs: All items,96.4
"Glens Falls, NY (Metropolitan Statistical Area)",  RPPs: Goods,98
"Glens Falls, NY (Metropolitan Statistical Area)",  RPPs: Services: Rents,87.2
"Glens Falls, NY (Metropolitan Statistical Area)",  RPPs: Services: Other,100.6
"Goldsboro, NC (Metropolitan Statistical Area)",RPPs: All items,86.8
"Goldsboro, NC (Metropolitan Statistical Area)",  RPPs: Goods,97.9
"Goldsboro, NC (Metropolitan Statistical Area)",  RPPs: Services: Rents,63.3
"Goldsboro, NC (Metropolitan Statistical Area)",  RPPs: Services: Other,93.4
"Grand Forks, ND-MN (Metropolitan Statistical Area)",RPPs: All items,93.2
"Grand Forks, ND-MN (Metropolitan Statistical Area)",  RPPs: Goods,97.2
"Grand Forks, ND-MN (Metropolitan Statistical Area)",  RPPs: Services: Rents,85.2
"Grand Forks, ND-MN (Metropolitan Statistical Area)",  RPPs: Services: Other,93.6
"Grand Island, NE (Metropolitan Statistical Area)",RPPs: All items,85.9
"Grand Island, NE (Metropolitan Statistical Area)",  RPPs: Goods,93
"Grand Island, NE (Metropolitan Statistical Area)",  RPPs: Services: Rents,67.6
"Grand Island, NE (Metropolitan Statistical Area)",  RPPs: Services: Other,90.3
"Grand Junction, CO (Metropolitan Statistical Area)",RPPs: All items,94
"Grand Junction, CO (Metropolitan Statistical Area)",  RPPs: Goods,99.4
"Grand Junction, CO (Metropolitan Statistical Area)",  RPPs: Services: Rents,86.4
"Grand Junction, CO (Metropolitan Statistical Area)",  RPPs: Services: Other,94
"Grand Rapids-Wyoming, MI (Metropolitan Statistical Area)",RPPs: All items,93.5
"Grand Rapids-Wyoming, MI (Metropolitan Statistical Area)",  RPPs: Goods,96.7
"Grand Rapids-Wyoming, MI (Metropolitan Statistical Area)",  RPPs: Services: Rents,87
"Grand Rapids-Wyoming, MI (Metropolitan Statistical Area)",  RPPs: Services: Other,93.2
"Grants Pass, OR (Metropolitan Statistical Area)",RPPs: All items,93.4
"Grants Pass, OR (Metropolitan Statistical Area)",  RPPs: Goods,99.4
"Grants Pass, OR (Metropolitan Statistical Area)",  RPPs: Services: Rents,84.2
"Grants Pass, OR (Metropolitan Statistical Area)",  RPPs: Services: Other,94
"Great Falls, MT (Metropolitan Statistical Area)",RPPs: All items,92.6
"Great Falls, MT (Metropolitan Statistical Area)",  RPPs: Goods,95.4
"Great Falls, MT (Metropolitan Statistical Area)",  RPPs: Services: Rents,75.2
"Great Falls, MT (Metropolitan Statistical Area)",  RPPs: Services: Other,102
"Greeley, CO (Metropolitan Statistical Area)",RPPs: All items,99.2
"Greeley, CO (Metropolitan Statistical Area)",  RPPs: Goods,100.9
"Greeley, CO (Metropolitan Statistical Area)",  RPPs: Services: Rents,96.1
"Greeley, CO (Metropolitan Statistical Area)",  RPPs: Services: Other,99.4
"Green Bay, WI (Metropolitan Statistical Area)",RPPs: All items,91.1
"Green Bay, WI (Metropolitan Statistical Area)",  RPPs: Goods,96.7
"Green Bay, WI (Metropolitan Statistical Area)",  RPPs: Services: Rents,76.8
"Green Bay, WI (Metropolitan Statistical Area)",  RPPs: Services: Other,93.1
"Greensboro-High Point, NC (Metropolitan Statistical Area)",RPPs: All items,89.8
"Greensboro-High Point, NC (Metropolitan Statistical Area)",  RPPs: Goods,97.4
"Greensboro-High Point, NC (Metropolitan Statistical Area)",  RPPs: Services: Rents,72.6
"Greensboro-High Point, NC (Metropolitan Statistical Area)",  RPPs: Services: Other,93.4
"Greenville, NC (Metropolitan Statistical Area)",RPPs: All items,88.1
"Greenville, NC (Metropolitan Statistical Area)",  RPPs: Goods,97.9
"Greenville, NC (Metropolitan Statistical Area)",  RPPs: Services: Rents,67.8
"Greenville, NC (Metropolitan Statistical Area)",  RPPs: Services: Other,93.4
"Greenville-Anderson-Mauldin, SC (Metropolitan Statistical Area)",RPPs: All items,89.6
"Greenville-Anderson-Mauldin, SC (Metropolitan Statistical Area)",  RPPs: Goods,97.6
"Greenville-Anderson-Mauldin, SC (Metropolitan Statistical Area)",  RPPs: Services: Rents,72
"Greenville-Anderson-Mauldin, SC (Metropolitan Statistical Area)",  RPPs: Services: Other,93.4
"Gulfport-Biloxi-Pascagoula, MS (Metropolitan Statistical Area)",RPPs: All items,89.2
"Gulfport-Biloxi-Pascagoula, MS (Metropolitan Statistical Area)",  RPPs: Goods,97.9
"Gulfport-Biloxi-Pascagoula, MS (Metropolitan Statistical Area)",  RPPs: Services: Rents,72.6
"Gulfport-Biloxi-Pascagoula, MS (Metropolitan Statistical Area)",  RPPs: Services: Other,93.4
"Hagerstown-Martinsburg, MD-WV (Metropolitan Statistical Area)",RPPs: All items,100.5
"Hagerstown-Martinsburg, MD-WV (Metropolitan Statistical Area)",  RPPs: Goods,105.4
"Hagerstown-Martinsburg, MD-WV (Metropolitan Statistical Area)",  RPPs: Services: Rents,82.2
"Hagerstown-Martinsburg, MD-WV (Metropolitan Statistical Area)",  RPPs: Services: Other,110.7
"Hammond, LA (Metropolitan Statistical Area)",RPPs: All items,85.3
"Hammond, LA (Metropolitan Statistical Area)",  RPPs: Goods,91.3
"Hammond, LA (Metropolitan Statistical Area)",  RPPs: Services: Rents,71.5
"Hammond, LA (Metropolitan Statistical Area)",  RPPs: Services: Other,93.2
"Hanford-Corcoran, CA (Metropolitan Statistical Area)",RPPs: All items,94.1
"Hanford-Corcoran, CA (Metropolitan Statistical Area)",  RPPs: Goods,99.4
"Hanford-Corcoran, CA (Metropolitan Statistical Area)",  RPPs: Services: Rents,85.9
"Hanford-Corcoran, CA (Metropolitan Statistical Area)",  RPPs: Services: Other,94
"Harrisburg-Carlisle, PA (Metropolitan Statistical Area)",RPPs: All items,96.6
"Harrisburg-Carlisle, PA (Metropolitan Statistical Area)",  RPPs: Goods,98
"Harrisburg-Carlisle, PA (Metropolitan Statistical Area)",  RPPs: Services: Rents,87.7
"Harrisburg-Carlisle, PA (Metropolitan Statistical Area)",  RPPs: Services: Other,100.6
"Harrisonburg, VA (Metropolitan Statistical Area)",RPPs: All items,88.6
"Harrisonburg, VA (Metropolitan Statistical Area)",  RPPs: Goods,91.3
"Harrisonburg, VA (Metropolitan Statistical Area)",  RPPs: Services: Rents,81.5
"Harrisonburg, VA (Metropolitan Statistical Area)",  RPPs: Services: Other,93.2
"Hartford-West Hartford-East Hartford, CT (Metropolitan Statistical Area)",RPPs: All items,101.5
"Hartford-West Hartford-East Hartford, CT (Metropolitan Statistical Area)",  RPPs: Goods,98.2
"Hartford-West Hartford-East Hartford, CT (Metropolitan Statistical Area)",  RPPs: Services: Rents,109.3
"Hartford-West Hartford-East Hartford, CT (Metropolitan Statistical Area)",  RPPs: Services: Other,101
"Hattiesburg, MS (Metropolitan Statistical Area)",RPPs: All items,82.1
"Hattiesburg, MS (Metropolitan Statistical Area)",  RPPs: Goods,91.3
"Hattiesburg, MS (Metropolitan Statistical Area)",  RPPs: Services: Rents,64.1
"Hattiesburg, MS (Metropolitan Statistical Area)",  RPPs: Services: Other,93.2
"Hickory-Lenoir-Morganton, NC (Metropolitan Statistical Area)",RPPs: All items,86.7
"Hickory-Lenoir-Morganton, NC (Metropolitan Statistical Area)",  RPPs: Goods,97.9
"Hickory-Lenoir-Morganton, NC (Metropolitan Statistical Area)",  RPPs: Services: Rents,61.1
"Hickory-Lenoir-Morganton, NC (Metropolitan Statistical Area)",  RPPs: Services: Other,93.4
"Hilton Head Island-Bluffton-Beaufort, SC (Metropolitan Statistical Area)",RPPs: All items,94.6
"Hilton Head Island-Bluffton-Beaufort, SC (Metropolitan Statistical Area)",  RPPs: Goods,91.3
"Hilton Head Island-Bluffton-Beaufort, SC (Metropolitan Statistical Area)",  RPPs: Services: Rents,100.1
"Hilton Head Island-Bluffton-Beaufort, SC (Metropolitan Statistical Area)",  RPPs: Services: Other,93.2
"Hinesville, GA (Metropolitan Statistical Area)",RPPs: All items,90.3
"Hinesville, GA (Metropolitan Statistical Area)",  RPPs: Goods,91.3
"Hinesville, GA (Metropolitan Statistical Area)",  RPPs: Services: Rents,87.3
"Hinesville, GA (Metropolitan Statistical Area)",  RPPs: Services: Other,93.2
"Homosassa Springs, FL (Metropolitan Statistical Area)",RPPs: All items,87.4
"Homosassa Springs, FL (Metropolitan Statistical Area)",  RPPs: Goods,91.3
"Homosassa Springs, FL (Metropolitan Statistical Area)",  RPPs: Services: Rents,79.5
"Homosassa Springs, FL (Metropolitan Statistical Area)",  RPPs: Services: Other,93.2
"Hot Springs, AR (Metropolitan Statistical Area)",RPPs: All items,85.2
"Hot Springs, AR (Metropolitan Statistical Area)",  RPPs: Goods,91.3
"Hot Springs, AR (Metropolitan Statistical Area)",  RPPs: Services: Rents,71.5
"Hot Springs, AR (Metropolitan Statistical Area)",  RPPs: Services: Other,93.2
"Houma-Thibodaux, LA (Metropolitan Statistical Area)",RPPs: All items,90.8
"Houma-Thibodaux, LA (Metropolitan Statistical Area)",  RPPs: Goods,97.9
"Houma-Thibodaux, LA (Metropolitan Statistical Area)",  RPPs: Services: Rents,75.3
"Houma-Thibodaux, LA (Metropolitan Statistical Area)",  RPPs: Services: Other,93.4
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",RPPs: All items,101.6
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",  RPPs: Goods,96.2
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",  RPPs: Services: Rents,103.2
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",  RPPs: Services: Other,107.3
"Huntington-Ashland, WV-KY-OH (Metropolitan Statistical Area)",RPPs: All items,86
"Huntington-Ashland, WV-KY-OH (Metropolitan Statistical Area)",  RPPs: Goods,97.7
"Huntington-Ashland, WV-KY-OH (Metropolitan Statistical Area)",  RPPs: Services: Rents,58.3
"Huntington-Ashland, WV-KY-OH (Metropolitan Statistical Area)",  RPPs: Services: Other,93.4
"Huntsville, AL (Metropolitan Statistical Area)",RPPs: All items,89.4
"Huntsville, AL (Metropolitan Statistical Area)",  RPPs: Goods,97.9
"Huntsville, AL (Metropolitan Statistical Area)",  RPPs: Services: Rents,68.3
"Huntsville, AL (Metropolitan Statistical Area)",  RPPs: Services: Other,93.4
"Idaho Falls, ID (Metropolitan Statistical Area)",RPPs: All items,89.8
"Idaho Falls, ID (Metropolitan Statistical Area)",  RPPs: Goods,99.4
"Idaho Falls, ID (Metropolitan Statistical Area)",  RPPs: Services: Rents,70.5
"Idaho Falls, ID (Metropolitan Statistical Area)",  RPPs: Services: Other,94
"Indianapolis-Carmel-Anderson, IN (Metropolitan Statistical Area)",RPPs: All items,92.8
"Indianapolis-Carmel-Anderson, IN (Metropolitan Statistical Area)",  RPPs: Goods,97.2
"Indianapolis-Carmel-Anderson, IN (Metropolitan Statistical Area)",  RPPs: Services: Rents,83
"Indianapolis-Carmel-Anderson, IN (Metropolitan Statistical Area)",  RPPs: Services: Other,93.5
"Iowa City, IA (Metropolitan Statistical Area)",RPPs: All items,95.7
"Iowa City, IA (Metropolitan Statistical Area)",  RPPs: Goods,96.8
"Iowa City, IA (Metropolitan Statistical Area)",  RPPs: Services: Rents,97.7
"Iowa City, IA (Metropolitan Statistical Area)",  RPPs: Services: Other,93.3
"Ithaca, NY (Metropolitan Statistical Area)",RPPs: All items,106.4
"Ithaca, NY (Metropolitan Statistical Area)",  RPPs: Goods,98
"Ithaca, NY (Metropolitan Statistical Area)",  RPPs: Services: Rents,135.6
"Ithaca, NY (Metropolitan Statistical Area)",  RPPs: Services: Other,100.6
"Jackson, MI (Metropolitan Statistical Area)",RPPs: All items,89.6
"Jackson, MI (Metropolitan Statistical Area)",  RPPs: Goods,97.2
"Jackson, MI (Metropolitan Statistical Area)",  RPPs: Services: Rents,70.1
"Jackson, MI (Metropolitan Statistical Area)",  RPPs: Services: Other,93.6
"Jackson, MS (Metropolitan Statistical Area)",RPPs: All items,90.1
