"Daphne-Fairhope-Foley, AL (Metropolitan Statistical Area)",91.3
"Davenport-Moline-Rock Island, IA-IL (Metropolitan Statistical Area)",90.2
"Dayton, OH (Metropolitan Statistical Area)",90
"Decatur, AL (Metropolitan Statistical Area)",84.3
"Decatur, IL (Metropolitan Statistical Area)",86.1
"Deltona-Daytona Beach-Ormond Beach, FL (Metropolitan Statistical Area)",95.4
"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area)",106
"Des Moines-West Des Moines, IA (Metropolitan Statistical Area)",94.5
"Detroit-Warren-Dearborn, MI (Metropolitan Statistical Area)",95.9
"Dothan, AL (Metropolitan Statistical Area)",84.1
"Dover, DE (Metropolitan Statistical Area)",94.4
"Dubuque, IA (Metropolitan Statistical Area)",91.5
"Duluth, MN-WI (Metropolitan Statistical Area)",90.3
"Durham-Chapel Hill, NC (Metropolitan Statistical Area)",95.2
"East Stroudsburg, PA (Metropolitan Statistical Area)",97.1
"Eau Claire, WI (Metropolitan Statistical Area)",91.2
"El Centro, CA (Metropolitan Statistical Area)",89.3
"Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)",85.3
"Elkhart-Goshen, IN (Metropolitan Statistical Area)",90.2
"Elmira, NY (Metropolitan Statistical Area)",95.3
"El Paso, TX (Metropolitan Statistical Area)",88.7
"Enid, OK (Metropolitan Statistical Area) 2/",90.4
"Erie, PA (Metropolitan Statistical Area)",92.7
"Eugene, OR (Metropolitan Statistical Area)",97.8
"Evansville, IN-KY (Metropolitan Statistical Area)",89.4
"Fairbanks, AK (Metropolitan Statistical Area)",106.6
"Fargo, ND-MN (Metropolitan Statistical Area)",92.6
"Farmington, NM (Metropolitan Statistical Area)",91
"Fayetteville, NC (Metropolitan Statistical Area)",89.9
"Fayetteville-Springdale-Rogers, AR-MO (Metropolitan Statistical Area)",89.5
"Flagstaff, AZ (Metropolitan Statistical Area)",98
"Flint, MI (Metropolitan Statistical Area)",90.4
"Florence, SC (Metropolitan Statistical Area)",85.5
"Florence-Muscle Shoals, AL (Metropolitan Statistical Area)",84.2
"Fond du Lac, WI (Metropolitan Statistical Area)",87.1
"Fort Collins, CO (Metropolitan Statistical Area)",101.9
"Fort Smith, AR-OK (Metropolitan Statistical Area)",84.6
"Fort Wayne, IN (Metropolitan Statistical Area)",89.9
"Fresno, CA (Metropolitan Statistical Area)",96.3
"Gadsden, AL (Metropolitan Statistical Area)",83.3
"Gainesville, FL (Metropolitan Statistical Area)",94.3
"Gainesville, GA (Metropolitan Statistical Area)",88.5
"Gettysburg, PA (Metropolitan Statistical Area)",96.1
"Glens Falls, NY (Metropolitan Statistical Area)",96.4
"Goldsboro, NC (Metropolitan Statistical Area)",86.8
"Grand Forks, ND-MN (Metropolitan Statistical Area)",93.2
"Grand Island, NE (Metropolitan Statistical Area)",85.9
"Grand Junction, CO (Metropolitan Statistical Area)",94
"Grand Rapids-Wyoming, MI (Metropolitan Statistical Area)",93.5
"Grants Pass, OR (Metropolitan Statistical Area)",93.4
"Great Falls, MT (Metropolitan Statistical Area)",92.6
"Greeley, CO (Metropolitan Statistical Area)",99.2
"Green Bay, WI (Metropolitan Statistical Area)",91.1
"Greensboro-High Point, NC (Metropolitan Statistical Area)",89.8
"Greenville, NC (Metropolitan Statistical Area)",88.1
"Greenville-Anderson-Mauldin, SC (Metropolitan Statistical Area)",89.6
"Gulfport-Biloxi-Pascagoula, MS (Metropolitan Statistical Area)",89.2
"Hagerstown-Martinsburg, MD-WV (Metropolitan Statistical Area)",100.5
"Hammond, LA (Metropolitan Statistical Area)",85.3
"Hanford-Corcoran, CA (Metropolitan Statistical Area)",94.1
"Harrisburg-Carlisle, PA (Metropolitan Statistical Area)",96.6
"Harrisonburg, VA (Metropolitan Statistical Area)",88.6
"Hartford-West Hartford-East Hartford, CT (Metropolitan Statistical Area)",101.5
"Hattiesburg, MS (Metropolitan Statistical Area)",82.1
"Hickory-Lenoir-Morganton, NC (Metropolitan Statistical Area)",86.7
"Hilton Head Island-Bluffton-Beaufort, SC (Metropolitan Statistical Area)",94.6
"Hinesville, GA (Metropolitan Statistical Area)",90.3
"Homosassa Springs, FL (Metropolitan Statistical Area)",87.4
"Hot Springs, AR (Metropolitan Statistical Area)",85.2
"Houma-Thibodaux, LA (Metropolitan Statistical Area)",90.8
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",101.6
"Huntington-Ashland, WV-KY-OH (Metropolitan Statistical Area)",86
"Huntsville, AL (Metropolitan Statistical Area)",89.4
"Idaho Falls, ID (Metropolitan Statistical Area)",89.8
"Indianapolis-Carmel-Anderson, IN (Metropolitan Statistical Area)",92.8
"Iowa City, IA (Metropolitan Statistical Area)",95.7
"Ithaca, NY (Metropolitan Statistical Area)",106.4
"Jackson, MI (Metropolitan Statistical Area)",89.6
"Jackson, MS (Metropolitan Statistical Area)",90.1
"Jackson, TN (Metropolitan Statistical Area)",82.1
"Jacksonville, FL (Metropolitan Statistical Area)",95.8
"Jacksonville, NC (Metropolitan Statistical Area)",92.7
"Janesville-Beloit, WI (Metropolitan Statistical Area)",91.7
"Jefferson City, MO (Metropolitan Statistical Area)",82.2
"Johnson City, TN (Metropolitan Statistical Area)",88
"Johnstown, PA (Metropolitan Statistical Area)",86.7
"Jonesboro, AR (Metropolitan Statistical Area)",81.8
"Joplin, MO (Metropolitan Statistical Area)",87.8
"Kahului-Wailuku-Lahaina, HI (Metropolitan Statistical Area)",106.5
"Kalamazoo-Portage, MI (Metropolitan Statistical Area)",91.2
"Kankakee, IL (Metropolitan Statistical Area)",96.3
"Kansas City, MO-KS (Metropolitan Statistical Area)",93.7
"Kennewick-Richland, WA (Metropolitan Statistical Area)",97.1
"Killeen-Temple, TX (Metropolitan Statistical Area)",91.6
"Kingsport-Bristol-Bristol, TN-VA (Metropolitan Statistical Area)",85.1
"Kingston, NY (Metropolitan Statistical Area)",103.6
"Knoxville, TN (Metropolitan Statistical Area)",88.5
"Kokomo, IN (Metropolitan Statistical Area)",85.7
