City,State,Avg.Salary,Regional.Price.Parity,Rent.Index,lat,lng
Saint Paul,MN,54478,102.3,110.1,44.94441,-93.09327
Saint Petersburg,FL,42583,99.8,103.5,27.77086,-82.67927
Salem,OR,39701,95.9,87.6,44.9429,-123.0351
Salt Lake City,UT,45831,99.4,104.2,40.76078,-111.89105
San Antonio,TX,44777,94.4,90.2,29.42412,-98.49363
San Diego,CA,46589,116.3,167.6,32.71571,-117.16472
San Francisco,CA,66920,124.7,190.9,37.77493,-122.41942
San Jose,CA,69016,127.1,213.3,37.33939,-121.89496
Santa Barbara,CA,50259,109.5,167.5,34.42083,-119.69819
Santa Rosa,CA,45697,121,156.1,38.44047,-122.71443
Seattle,WA,57630,110.5,134,47.60621,-122.33207
Shreveport,LA,45697,89.9,72.8,32.52515,-93.75018
Sioux Falls,SD,58430,92.4,81.2,43.54997,-96.70033
Spokane,WA,42527,95.2,85,47.65966,-117.42908
Springfield,MO,41597,87.8,66.6,37.21533,-93.29824
Syracuse,NY,45230,96.7,88,43.04812,-76.14742
Tacoma,WA,57630,110.5,134,47.60014,-122.3283
Tampa,FL,42583,99.8,103.5,27.94752,-82.45843
Tucson,AZ,40198,95.8,87.9,32.22174,-110.92648
Tulsa,OK,51359,90.7,74.4,36.15398,-95.99277
Vancouver,WA,48929,101.7,117.7,45.63873,-122.66149
Virginia Beach,VA,46286,97.9,104.9,36.85293,-75.97799
Washington,DC,54683,119.1,166.4,38.89511,-77.03637
West Palm Beach,FL,46295,107.6,129.4,26.71534,-80.05337
Wichita,KS,49977,90.2,72,37.69224,-97.33754
Winston-salem,NC,45136,89,68.6,36.09986,-80.24422
