City,State,Regional.Price.Parity,Cost.of.Living.Plus.Rent.Index,Local.Purchasing.Power.Index,Avg.Disp.Sal.Index,lat,lng
Olympia, WA,106.9,58.42,125.04,73.048368,47.03787,-122.9007
Omaha, NE,93.4,49.78,134.51,66.959078,41.25626,-95.94043
Orlando, FL,98,57.68,129.02,74.418736,28.53834,-81.37924
Pensacola, FL,92.3,47.44,128.73,61.069512,30.42131,-87.21691
Philadelphia, PA,105.9,66.4,116.06,77.06384,39.95233,-75.16379
Phoenix, AZ,97.1,50.69,139.29,70.606101,33.44838,-112.07404
Pittsburgh, PA,94.3,59.54,133.38,79.414452,40.44062,-79.99589
Plano, TX,100.2,58.3,101.69,59.28527,33.01984,-96.69889
Portland, ME,101.7,61.89,113.69,70.362741,43.66147,-70.25533
Portland, OR,101.7,65.56,125.57,82.323692,45.52345,-122.67621
Queens, NY,122,73.04,113.4,82.82736,40.68149,-73.83652
Raleigh, NC,95.9,55.02,131.99,72.620898,35.7721,-78.63861
Reno, NV,98.7,49.92,136.4,68.09088,39.52963,-119.8138
Richmond, VA,96.1,54.2,133.08,72.12936,37.55376,-77.46026
Rochester, NY,98,51.13,158.71,81.148423,43.15478,-77.61556
Rockville, MD,119.1,78.84,130.79,103.114836,39.084,-77.15276
Sacramento, CA,102,61.67,135.14,83.340838,38.58157,-121.4944
Saint Louis, MO,90.8,51.15,144.7,74.01405,38.62727,-90.19789
Saint Paul, MN,102.3,60.05,97.64,58.63282,44.94441,-93.09327
Saint Petersburg, FL,99.8,57.72,145.31,83.872932,27.77086,-82.67927
Salem, OR,95.9,51.58,106.58,54.973964,44.9429,-123.0351
Salt Lake City, UT,99.4,51.4,148.6,76.3804,40.76078,-111.89105
San Antonio, TX,94.4,48.18,154.92,74.640456,29.42412,-98.49363
San Diego, CA,116.3,69.73,142.72,99.518656,32.71571,-117.16472
San Francisco, CA,124.7,106.29,92.96,98.807184,37.77493,-122.41942
San Jose, CA,127.1,82.36,134.82,111.037752,37.33939,-121.89496
Santa Barbara, CA,109.5,75.45,134.38,101.38971,34.42083,-119.69819
Santa Rosa, CA,121,74.75,106.77,79.810575,38.44047,-122.71443
Seattle, WA,110.5,76.64,144.6,110.82144,47.60621,-122.33207
Shreveport, LA,89.9,49.48,76.03,37.619644,32.52515,-93.75018
Sioux Falls, SD,92.4,47,168.93,79.3971,43.54997,-96.70033
Spokane, WA,95.2,48.86,135.55,66.22973,47.65966,-117.42908
Springfield, MO,87.8,43.44,77.68,33.744192,37.21533,-93.29824
Syracuse, NY,96.7,52.57,103.63,54.478291,43.04812,-76.14742
Tacoma, WA,110.5,60.49,125.1,75.67299,47.60014,-122.3283
Tampa, FL,99.8,59.92,144.43,86.542456,27.94752,-82.45843
Tucson, AZ,95.8,44.1,138.07,60.88887,32.22174,-110.92648
Tulsa, OK,90.7,48.34,123.2,59.55488,36.15398,-95.99277
Vancouver, WA,101.7,51.55,127.95,65.958225,45.63873,-122.66149
Virginia Beach, VA,97.9,53.94,151.73,81.843162,36.85293,-75.97799
Washington, DC,119.1,82.95,120.62,100.05429,38.89511,-77.03637
West Palm Beach, FL,107.6,60.41,124.36,75.125876,26.71534,-80.05337
Wichita, KS,90.2,46.58,118.39,55.146062,37.69224,-97.33754
Winston-salem, NC,89,46.34,117.44,54.421696,36.09986,-80.24422
