"MARPI Real Personal Income by MSA 1/"
"Real per capita personal income (Chained 2012 dollars) 2/" 
"Bureau of Economic Analysis" 
"Metropolitan Statistical Area"
"18020","Columbus, IN (Metropolitan Statistical Area)",50181
"18140","Columbus, OH (Metropolitan Statistical Area)",49999
"18580","Corpus Christi, TX (Metropolitan Statistical Area)",42324
"18700","Corvallis, OR (Metropolitan Statistical Area)",42009
"18880","Crestview-Fort Walton Beach-Destin, FL (Metropolitan Statistical Area)",49204
"19060","Cumberland, MD-WV (Metropolitan Statistical Area)",41138
"19100","Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)",49923
"19140","Dalton, GA (Metropolitan Statistical Area)",39283
"19180","Danville, IL (Metropolitan Statistical Area)",43914
"19300","Daphne-Fairhope-Foley, AL (Metropolitan Statistical Area)",45482
"19340","Davenport-Moline-Rock Island, IA-IL (Metropolitan Statistical Area)",49032
"19380","Dayton, OH (Metropolitan Statistical Area)",47179
"19460","Decatur, AL (Metropolitan Statistical Area)",41078
"19500","Decatur, IL (Metropolitan Statistical Area)",50727
"19660","Deltona-Daytona Beach-Ormond Beach, FL (Metropolitan Statistical Area)",40359
"19740","Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area)",51662
"19780","Des Moines-West Des Moines, IA (Metropolitan Statistical Area)",52310
"19820","Detroit-Warren-Dearborn, MI (Metropolitan Statistical Area)",49479
"20020","Dothan, AL (Metropolitan Statistical Area)",43665
"20100","Dover, DE (Metropolitan Statistical Area)",39819
"20220","Dubuque, IA (Metropolitan Statistical Area)",47432
"20260","Duluth, MN-WI (Metropolitan Statistical Area)",44914
"20500","Durham-Chapel Hill, NC (Metropolitan Statistical Area)",51337
"20700","East Stroudsburg, PA (Metropolitan Statistical Area)",39136
"20740","Eau Claire, WI (Metropolitan Statistical Area)",45530
"20940","El Centro, CA (Metropolitan Statistical Area)",37948
"21060","Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)",44814
"21140","Elkhart-Goshen, IN (Metropolitan Statistical Area)",44765
"21300","Elmira, NY (Metropolitan Statistical Area)",41057
"21340","El Paso, TX (Metropolitan Statistical Area)",36703
"21420","Enid, OK (Metropolitan Statistical Area) 4/",46774
"21500","Erie, PA (Metropolitan Statistical Area)",42859
"21660","Eugene, OR (Metropolitan Statistical Area)",41681
"21780","Evansville, IN-KY (Metropolitan Statistical Area)",47007
"21820","Fairbanks, AK (Metropolitan Statistical Area)",47838
"22020","Fargo, ND-MN (Metropolitan Statistical Area)",52815
"22140","Farmington, NM (Metropolitan Statistical Area)",35050
"22180","Fayetteville, NC (Metropolitan Statistical Area)",37657
"22220","Fayetteville-Springdale-Rogers, AR-MO (Metropolitan Statistical Area)",62271
"22380","Flagstaff, AZ (Metropolitan Statistical Area)",43633
"22420","Flint, MI (Metropolitan Statistical Area)",41051
"22500","Florence, SC (Metropolitan Statistical Area)",42250
"22520","Florence-Muscle Shoals, AL (Metropolitan Statistical Area)",41045
